MGH_3,PERIOD,MONTHLY_SUM_TOTAL_2023,PROPORTION,TOTAL_SALES_2023,FORECASTED_SALES_2023
APPAREL,8/31/2023 0:00:00,8014448575,31.04,2487684838,2776212893
BAGS,8/31/2023 0:00:00,8014448575,38.79,3108804602,3274709206
FOOTWEAR,8/31/2023 0:00:00,8014448575,21.79,1746348344,2051715256
HEADWEAR,8/31/2023 0:00:00,8014448575,8.38,671610790.6,774960974.2
APPAREL,2/28/2023 0:00:00,5022059865,27.1,1360978223,928899221.2
BAGS,2/28/2023 0:00:00,5022059865,39.45,1981202617,2031640581
FOOTWEAR,2/28/2023 0:00:00,5022059865,25.79,1295189239,959073288.3
HEADWEAR,2/28/2023 0:00:00,5022059865,7.66,384689785.7,467919151.5
APPAREL,11/30/2023 0:00:00,7240238505,40.68,2945329024,3617422497
BAGS,11/30/2023 0:00:00,7240238505,34.33,2485573879,3209687646
FOOTWEAR,11/30/2023 0:00:00,7240238505,18.61,1347408386,1879439683
HEADWEAR,11/30/2023 0:00:00,7240238505,6.38,461927216.6,615459662
APPAREL,9/30/2023 0:00:00,6384548335,31.09,1984956077,1932466037
BAGS,9/30/2023 0:00:00,6384548335,38.21,2439535919,2802806493
FOOTWEAR,9/30/2023 0:00:00,6384548335,21.31,1360547250,1811786360
HEADWEAR,9/30/2023 0:00:00,6384548335,9.39,599509088.7,828165658.8
APPAREL,7/31/2023 0:00:00,7773700160,26.56,2064694762,2242275998
BAGS,7/31/2023 0:00:00,7773700160,47.9,3723602377,3947752928
FOOTWEAR,7/31/2023 0:00:00,7773700160,18.36,1427251349,1552939751
HEADWEAR,7/31/2023 0:00:00,7773700160,7.18,558151671.5,567128477.3
APPAREL,5/31/2023 0:00:00,7308381685,17.82,1302353616,1561336074
BAGS,5/31/2023 0:00:00,7308381685,50.37,3681231855,3697583639
FOOTWEAR,5/31/2023 0:00:00,7308381685,22.46,1641462526,1810477684
HEADWEAR,5/31/2023 0:00:00,7308381685,9.35,683333687.5,784987911.6
APPAREL,1/31/2023 0:00:00,5969923670,34.21,2042310888,2568391724
BAGS,1/31/2023 0:00:00,5969923670,30.01,1791574093,2876911055
FOOTWEAR,1/31/2023 0:00:00,5969923670,28.05,1674563589,1670236966
HEADWEAR,1/31/2023 0:00:00,5969923670,7.73,461475099.7,611737676.1
APPAREL,3/31/2023 0:00:00,7366987010,40.3,2968895765,3234734946
BAGS,3/31/2023 0:00:00,7366987010,26.78,1972879121,1982296505
FOOTWEAR,3/31/2023 0:00:00,7366987010,26.7,1966985532,1784124842
HEADWEAR,3/31/2023 0:00:00,7366987010,6.22,458226592,532254031.5
APPAREL,12/31/2023 0:00:00,9774247480,25.7,2511981602,2595467101
BAGS,12/31/2023 0:00:00,9774247480,48.32,4722916382,5405844442
FOOTWEAR,12/31/2023 0:00:00,9774247480,19.72,1927481603,2311294366
HEADWEAR,12/31/2023 0:00:00,9774247480,6.25,610890467.5,836136048.7
APPAREL,6/30/2023 0:00:00,6222443245,23.43,1457918452,1558224777
BAGS,6/30/2023 0:00:00,6222443245,44.96,2797610483,2756086405
FOOTWEAR,6/30/2023 0:00:00,6222443245,22.62,1407516662,1418865567
HEADWEAR,6/30/2023 0:00:00,6222443245,9,560019892.1,585107987.4
APPAREL,4/30/2023 0:00:00,9514023760,27.12,2580203244,3212652134
BAGS,4/30/2023 0:00:00,9514023760,41.08,3908360961,4436007157
FOOTWEAR,4/30/2023 0:00:00,9514023760,24.55,2335692833,2482252307
HEADWEAR,4/30/2023 0:00:00,9514023760,7.25,689766722.6,818372010.6
APPAREL,10/31/2023 0:00:00,7483147995,31.07,2325014082,2358854716
BAGS,10/31/2023 0:00:00,7483147995,37.16,2780737795,3617505157
FOOTWEAR,10/31/2023 0:00:00,7483147995,24.76,1852827444,2184261350
HEADWEAR,10/31/2023 0:00:00,7483147995,7.01,524568674.4,723280547.2