CHANNEL,PERIOD,TOTAL_SALES,CHANNEL_TOTAL_SALES,PROPORTION
ALL-CHANNELS,1/31/2023 0:00:00,5431861880,80136136740,6.778292667
ALL-CHANNELS,2/28/2023 0:00:00,4569427860,80136136740,5.70208154
ALL-CHANNELS,3/31/2023 0:00:00,6703009640,80136136740,8.364528055
ALL-CHANNELS,4/30/2023 0:00:00,8656536640,80136136740,10.80228845
ALL-CHANNELS,5/31/2023 0:00:00,6649686340,80136136740,8.297987163
ALL-CHANNELS,6/30/2023 0:00:00,5661622180,80136136740,7.06500514
ALL-CHANNELS,7/31/2023 0:00:00,7073066240,80136136740,8.826312982
ALL-CHANNELS,8/31/2023 0:00:00,7292116300,80136136740,9.099660399
ALL-CHANNELS,9/30/2023 0:00:00,5809116940,80136136740,7.249060382
ALL-CHANNELS,10/31/2023 0:00:00,6808701180,80136136740,8.496418042
ALL-CHANNELS,11/30/2023 0:00:00,6587684820,80136136740,8.220616925
ALL-CHANNELS,12/31/2023 0:00:00,8893306720,80136136740,11.09774826
E-COMMERCE,1/31/2023 0:00:00,643814504.6,11130909393,5.784024304
E-COMMERCE,2/28/2023 0:00:00,761336620.4,11130909393,6.839842043
E-COMMERCE,3/31/2023 0:00:00,781734326,11130909393,7.023094864
E-COMMERCE,4/30/2023 0:00:00,1357953607,11130909393,12.19984423
E-COMMERCE,5/31/2023 0:00:00,926148469.8,11130909393,8.320510365
E-COMMERCE,6/30/2023 0:00:00,783393150,11130909393,7.037997726
E-COMMERCE,7/31/2023 0:00:00,665491571.4,11130909393,5.978770898
E-COMMERCE,8/31/2023 0:00:00,951443151,11130909393,8.547757576
E-COMMERCE,9/30/2023 0:00:00,863069699.7,11130909393,7.753811204
E-COMMERCE,10/31/2023 0:00:00,795166030.6,11130909393,7.14376519
E-COMMERCE,11/30/2023 0:00:00,791644871.9,11130909393,7.112131129
E-COMMERCE,12/31/2023 0:00:00,1809713391,11130909393,16.25845047
RETAIL,1/31/2023 0:00:00,3860090545,52953959158,7.289522079
RETAIL,2/28/2023 0:00:00,3047806942,52953959158,5.755578979
RETAIL,3/31/2023 0:00:00,3805406327,52953959158,7.186254602
RETAIL,4/30/2023 0:00:00,5720158484,52953959158,10.80213562
RETAIL,5/31/2023 0:00:00,4461684779,52953959158,8.425592439
RETAIL,6/30/2023 0:00:00,3822030270,52953959158,7.217647803
RETAIL,7/31/2023 0:00:00,4963004297,52953959158,9.372300724
RETAIL,8/31/2023 0:00:00,4441572384,52953959158,8.38761153
RETAIL,9/30/2023 0:00:00,4039506803,52953959158,7.628337649
RETAIL,10/31/2023 0:00:00,4296111029,52953959158,8.112917519
RETAIL,11/30/2023 0:00:00,4741793392,52953959158,8.954558767
RETAIL,12/31/2023 0:00:00,5754793906,52953959158,10.86754229
WHOLESALE,1/31/2023 0:00:00,927955029.5,16051268189,5.781194474
WHOLESALE,2/28/2023 0:00:00,760272364.8,16051268189,4.736525213
WHOLESALE,3/31/2023 0:00:00,2115907498,16051268189,13.1821827
WHOLESALE,4/30/2023 0:00:00,1578411335,16051268189,9.833561538
WHOLESALE,5/31/2023 0:00:00,1261850082,16051268189,7.861373112
WHOLESALE,6/30/2023 0:00:00,1056195670,16051268189,6.580138452
WHOLESALE,7/31/2023 0:00:00,1444585336,16051268189,8.999820567
WHOLESALE,8/31/2023 0:00:00,1899121591,16051268189,11.8315984
WHOLESALE,9/30/2023 0:00:00,906527350.7,16051268189,5.647699235
WHOLESALE,10/31/2023 0:00:00,1717445318,16051268189,10.69974844
WHOLESALE,11/30/2023 0:00:00,1054240954,16051268189,6.567960495
WHOLESALE,12/31/2023 0:00:00,1328755661,16051268189,8.278197369