GROUP,PERIOD,PROPORTION,MONTHLY_TARGET
NATIONAL,8/31/2023 0:00:00,8.38761153,58758820441
NON-ORGANIC,8/31/2023 0:00:00,8.38761153,5558357958
ORGANIC,8/31/2023 0:00:00,8.38761153,53200462483
NATIONAL,2/28/2023 0:00:00,5.755578979,57331949548
NON-ORGANIC,2/28/2023 0:00:00,5.755578979,5423381470
ORGANIC,2/28/2023 0:00:00,5.755578979,51908568078
NATIONAL,11/30/2023 0:00:00,8.94,59058279894
NON-ORGANIC,11/30/2023 0:00:00,8.94,5586685668
ORGANIC,11/30/2023 0:00:00,8.94,53471594227
NATIONAL,9/30/2023 0:00:00,7.628337649,58347204787
NON-ORGANIC,9/30/2023 0:00:00,7.628337649,5519420703
ORGANIC,9/30/2023 0:00:00,7.628337649,52827784084
NATIONAL,7/31/2023 0:00:00,9.372300724,59292637680
NON-ORGANIC,7/31/2023 0:00:00,9.372300724,5608855011
ORGANIC,7/31/2023 0:00:00,9.372300724,53683782669
NATIONAL,5/31/2023 0:00:00,8.425592439,58779410556
NON-ORGANIC,5/31/2023 0:00:00,8.425592439,5560305703
ORGANIC,5/31/2023 0:00:00,8.425592439,53219104853
NATIONAL,1/31/2023 0:00:00,7.289522079,58163526939
NON-ORGANIC,1/31/2023 0:00:00,7.289522079,5502045487
ORGANIC,1/31/2023 0:00:00,7.289522079,52661481452
NATIONAL,3/31/2023 0:00:00,7.186254602,58107543833
NON-ORGANIC,3/31/2023 0:00:00,7.186254602,5496749700
ORGANIC,3/31/2023 0:00:00,7.186254602,52610794132
NATIONAL,12/31/2023 0:00:00,10.86754229,60103234292
NON-ORGANIC,12/31/2023 0:00:00,10.86754229,5685534327
ORGANIC,12/31/2023 0:00:00,10.86754229,54417699966
NATIONAL,6/30/2023 0:00:00,7.217647803,58124562636
NON-ORGANIC,6/30/2023 0:00:00,7.217647803,5498359614
ORGANIC,6/30/2023 0:00:00,7.217647803,52626203022
NATIONAL,4/30/2023 0:00:00,10.80213562,60067776191
NON-ORGANIC,4/30/2023 0:00:00,10.80213562,5682180127
ORGANIC,4/30/2023 0:00:00,10.80213562,54385596064
NATIONAL,10/31/2023 0:00:00,8.112917519,58609904011
NON-ORGANIC,10/31/2023 0:00:00,8.112917519,5544271037
ORGANIC,10/31/2023 0:00:00,8.112917519,53065632974